+--------------+--------------+
|      Pat No. |          400 |
+--------------+--------------+
|      Pic No. |           13 |
|         Mode |            0 |
+--------------+--------------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  R-0 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
|   19 |  122 |  127 |  127 |  127 |   86 |  127 |  123 |  127 |   47 |  105 |  127 |   27 |  127 |  127 |  127 |  127 |  127 |   23 |  127 |  127 |   97 |   72 |   45 |   79 |  127 |   20 |   82 |  127 |    8 |   24 |  127 |  127 |
|   20 |  127 |  127 |   13 |  124 |   76 |   97 |  127 |   85 |  127 |    2 |  121 |  103 |  114 |  127 |  127 |  127 |   45 |  127 |  127 |  127 |  127 |   36 |  127 |   98 |   25 |  127 |   89 |  127 |  127 |  127 |  127 |   99 |
|   21 |  127 |  127 |   73 |  127 |  127 |   83 |   74 |  127 |   89 |  127 |   17 |   89 |   64 |  127 |  127 |  127 |  127 |   27 |  127 |   96 |  127 |  119 |   64 |  127 |    8 |  127 |  127 |   95 |  127 |  127 |  127 |   74 |
|   22 |   29 |   61 |  127 |   60 |  121 |  119 |  121 |  127 |  127 |  127 |  127 |  127 |  127 |   82 |   36 |  127 |  127 |  127 |  115 |   55 |  127 |  108 |   50 |  127 |  127 |  127 |  127 |   22 |   60 |  127 |  127 |  127 |
|   23 |   91 |  127 |   76 |   61 |   68 |  120 |   75 |  127 |  127 |  127 |   88 |   85 |  127 |   62 |   65 |    5 |    3 |    2 |  127 |   78 |   42 |  127 |   52 |   28 |   70 |  127 |  127 |  127 |  127 |  127 |   27 |  127 |
|   24 |   25 |  127 |  125 |  127 |  127 |   51 |  127 |   69 |  127 |   93 |  127 |   42 |   29 |  127 |   17 |  110 |   44 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   33 |  127 |  127 |  127 |  127 |   77 |   85 |  125 |
|   25 |  127 |   77 |  127 |  127 |  115 |  127 |  127 |   12 |  127 |  127 |  127 |   76 |   20 |  127 |   84 |  127 |  111 |  127 |  127 |   36 |  127 |  127 |   92 |  127 |    7 |   16 |   47 |  101 |    3 |  127 |   46 |   97 |
|   26 |   60 |   48 |    8 |    6 |  127 |  127 |   82 |  127 |  127 |  127 |  100 |   76 |  127 |   70 |  127 |  127 |  127 |   53 |  127 |   71 |  127 |   11 |  127 |   93 |  127 |   88 |  120 |  127 |   29 |  127 |  127 |  127 |
|   27 |  127 |  127 |   69 |  127 |   12 |   93 |  127 |  127 |   29 |  127 |  105 |  127 |  127 |   88 |   90 |  127 |  127 |   97 |  127 |   31 |   30 |  127 |  127 |  127 |  127 |  127 |  127 |  119 |   20 |   17 |  127 |   84 |
|   28 |   72 |  127 |   87 |   66 |   36 |  125 |   68 |  127 |   61 |   86 |  127 |  127 |  127 |   35 |  127 |    8 |  127 |  127 |  127 |   16 |  127 |   80 |  127 |  100 |  127 |   87 |  111 |  127 |  127 |   86 |  116 |   60 |
|   29 |  127 |  127 |    8 |  127 |   16 |  120 |   20 |  127 |   86 |  127 |   91 |  103 |  127 |    5 |  127 |  127 |  127 |   11 |  127 |  127 |   15 |  127 |  127 |   52 |  127 |   68 |  127 |  127 |  127 |   19 |  127 |  127 |
|   30 |  124 |   97 |  127 |  122 |  127 |    3 |  127 |  127 |  125 |  127 |  127 |  116 |   89 |   39 |   49 |   72 |   29 |   76 |   76 |  126 |   26 |   63 |  127 |   21 |   49 |  127 |    8 |   66 |   82 |  127 |    1 |   16 |
|   31 |  127 |   18 |  127 |   62 |   39 |   64 |  117 |  127 |   51 |   22 |  127 |  127 |    4 |  127 |  127 |  122 |   73 |  127 |  127 |  127 |  127 |  127 |   20 |   91 |   66 |  121 |  127 |  127 |  127 |  127 |  127 |  127 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  G-1 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |   56 |   18 |   35 |   21 |  127 |  127 |   90 |   31 |   87 |   61 |  127 |  112 |  127 |  127 |  127 |   67 |   87 |   78 |  127 |   18 |  127 |  127 |  127 |   53 |   97 |   62 |   63 |  127 |  127 |   52 |   28 |
|    1 |  127 |   14 |   72 |  127 |   11 |  127 |  127 |  124 |   12 |  127 |    9 |  118 |  127 |  127 |   75 |   72 |  104 |  127 |   34 |   73 |  127 |  122 |  127 |   34 |  127 |   67 |   74 |   73 |   40 |  127 |  127 |   25 |
|    2 |  127 |   25 |  127 |  127 |  127 |   58 |    1 |  127 |   58 |  102 |   18 |  127 |  127 |    0 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   81 |  127 |   91 |   65 |   88 |  127 |  127 |   83 |   16 |  127 |  127 |
|    3 |  127 |  127 |   60 |   53 |   35 |  127 |   69 |  127 |  127 |   53 |    9 |  127 |  127 |   82 |  127 |  127 |  127 |  127 |  127 |   43 |  127 |  127 |  127 |   33 |  127 |   48 |  127 |   22 |  127 |   84 |  127 |   47 |
|    4 |   86 |  127 |    6 |  127 |  127 |  127 |   69 |  127 |   53 |  127 |  104 |  127 |  127 |   96 |  127 |  127 |  127 |    4 |  127 |  127 |    1 |   98 |  127 |  127 |   43 |    5 |  127 |  127 |  127 |  127 |  127 |  127 |
|    5 |  119 |   51 |  127 |   92 |  127 |  127 |  127 |  127 |   42 |    9 |   47 |   73 |   68 |  127 |   47 |  127 |   38 |  127 |   17 |  127 |  127 |   46 |  127 |  127 |   47 |  127 |  127 |   66 |   74 |   86 |  127 |   15 |
|    6 |  127 |  127 |  127 |  127 |  127 |   47 |   96 |   81 |  127 |   71 |  127 |   16 |  127 |   37 |   11 |   41 |   89 |  127 |   77 |   94 |  127 |  127 |  122 |  127 |  127 |  127 |   54 |  127 |  127 |   30 |  127 |    0 |
|    7 |  127 |   21 |  101 |  127 |   31 |  113 |  110 |  127 |  105 |  127 |  127 |   78 |  127 |  127 |  127 |   97 |    2 |   69 |   69 |   86 |  112 |  127 |  127 |  117 |  112 |  111 |  127 |  127 |  127 |    7 |  127 |   54 |
|    8 |  102 |  127 |  127 |  108 |   22 |   40 |   51 |   29 |   55 |   17 |  127 |  127 |  127 |   25 |   21 |   90 |  127 |  127 |  127 |  127 |   89 |  127 |  127 |   43 |  127 |   57 |  127 |  127 |  127 |   67 |   92 |  127 |
|    9 |  127 |   70 |   41 |  127 |  127 |  127 |  127 |   88 |  127 |  127 |  110 |  127 |  127 |  127 |  127 |  127 |    6 |  106 |  115 |   31 |  127 |  127 |   70 |  127 |   91 |   79 |  127 |  127 |    5 |   57 |    3 |   56 |
|   10 |   83 |   57 |   70 |   53 |  127 |  114 |   91 |  127 |   21 |  127 |  119 |  127 |  127 |  127 |  127 |   70 |   99 |  127 |   76 |  127 |   81 |   28 |  127 |   58 |  127 |  122 |  127 |   76 |  127 |   28 |   99 |  127 |
|   11 |  127 |   13 |  122 |   79 |   39 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   78 |   28 |  127 |   48 |  127 |  112 |    1 |  127 |   56 |  127 |   43 |   69 |  127 |  127 |  127 |  127 |    1 |   74 |   91 |   37 |
|   12 |  127 |  127 |  127 |   95 |  127 |   48 |  127 |   83 |  127 |  109 |  127 |    0 |  107 |   87 |  127 |  127 |  127 |   96 |   58 |  127 |   29 |  127 |   42 |   79 |   31 |  127 |    2 |   60 |  127 |  127 |  127 |   38 |
|   13 |   47 |  105 |  127 |  127 |  127 |   15 |  127 |   48 |   71 |   94 |   41 |  112 |  126 |  104 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   35 |   13 |   80 |   78 |   87 |   67 |  127 |
|   14 |  127 |  127 |  127 |  127 |  101 |  127 |  127 |  127 |  127 |  127 |  127 |  115 |  127 |   52 |  127 |  127 |   52 |    0 |  127 |  127 |   56 |  127 |   30 |   46 |  127 |  123 |   72 |   72 |  127 |  127 |    0 |  127 |
|   15 |  127 |  127 |    5 |   57 |  127 |   38 |   86 |  127 |  127 |  109 |  127 |  127 |   46 |  127 |  127 |  127 |  127 |  127 |  127 |  103 |   17 |  127 |   44 |  100 |  127 |  118 |   71 |  127 |  127 |   86 |   72 |  127 |
|   16 |   11 |   93 |  127 |  127 |  127 |  124 |   47 |  122 |  127 |  127 |  127 |  127 |   87 |  127 |  102 |   70 |   37 |   73 |    5 |   77 |  127 |  127 |  127 |  127 |  127 |   37 |  110 |   35 |  127 |   82 |  127 |  127 |
|   17 |  127 |  127 |   61 |  125 |  127 |  127 |  127 |  127 |  127 |  127 |   58 |  127 |   28 |  105 |  127 |  127 |  117 |  112 |   96 |  127 |   68 |   11 |  127 |   93 |  127 |   29 |    1 |  127 |  127 |   97 |  127 |  127 |
|   18 |  118 |  120 |  127 |   47 |  127 |   67 |  127 |  127 |   49 |  127 |  127 |  127 |  127 |   99 |  127 |  127 |  127 |   64 |  127 |   99 |   90 |  107 |  113 |   67 |   47 |   51 |    9 |  127 |  127 |  103 |   32 |  127 |
|   19 |  101 |  104 |   77 |  127 |   48 |  127 |  107 |  102 |   17 |  127 |   18 |  103 |  109 |  111 |   57 |   59 |  127 |   50 |  127 |  127 |  115 |  127 |   81 |   48 |   74 |  127 |  127 |   96 |  127 |   49 |  127 |  127 |
|   20 |  127 |   26 |  127 |  127 |  127 |  127 |    5 |   46 |   60 |  127 |  102 |  127 |   47 |  118 |  127 |  110 |  127 |  127 |  107 |   85 |  127 |   48 |  127 |    0 |  127 |   18 |   43 |   35 |  127 |  127 |   50 |   34 |
|   21 |  127 |  127 |  127 |  127 |   50 |  127 |  127 |  127 |    8 |   46 |  127 |   30 |  127 |   96 |  127 |   88 |  127 |  127 |   32 |  127 |  127 |   39 |   82 |   19 |  127 |  127 |   67 |  127 |  127 |  127 |  127 |  127 |
|   22 |  106 |  127 |   27 |   82 |   25 |  127 |   17 |  127 |  127 |  127 |  127 |   97 |  116 |   32 |  127 |  110 |   26 |  127 |  127 |    7 |  111 |  127 |   75 |  111 |  127 |  127 |   61 |  127 |  127 |   72 |  127 |   12 |
|   23 |  127 |   42 |   38 |  127 |   33 |  109 |  102 |   96 |   71 |   30 |  127 |   39 |  127 |   37 |  127 |  127 |   51 |   92 |   84 |   78 |   50 |  127 |  127 |   64 |  127 |  127 |  127 |   64 |   86 |  122 |   70 |   26 |
|   24 |   33 |  127 |  127 |  127 |  127 |  127 |   29 |  127 |   84 |  127 |   67 |  112 |   77 |  127 |  127 |  127 |    4 |   99 |   27 |   42 |  114 |  127 |  127 |  127 |  127 |  127 |    1 |  127 |   29 |  127 |   21 |  111 |
|   25 |  127 |   62 |   32 |   28 |  127 |  127 |  109 |   29 |   22 |  127 |  127 |  120 |   24 |  127 |  127 |  127 |  127 |  127 |  127 |   32 |    2 |  127 |   81 |  127 |   89 |  127 |   53 |  107 |   45 |   81 |  127 |  113 |
|   26 |  127 |   24 |   18 |   80 |  127 |   41 |  127 |   70 |  127 |    1 |  127 |  127 |   26 |  127 |   69 |   31 |  127 |  121 |  127 |  127 |  127 |   35 |  127 |   45 |   28 |   97 |  127 |  107 |  127 |  127 |   63 |  120 |
|   27 |  127 |  127 |   61 |  127 |   22 |  127 |    1 |   69 |  127 |  127 |   98 |  127 |   28 |  127 |   96 |   26 |   50 |  112 |  127 |  127 |  127 |  127 |   59 |  106 |  127 |   57 |  127 |  127 |   19 |  127 |  100 |   61 |
|   28 |   28 |  127 |   37 |   18 |   95 |  118 |   22 |  127 |   91 |  127 |   49 |  127 |  127 |   39 |  127 |   65 |   15 |  127 |    0 |   14 |  104 |   73 |  127 |  127 |  127 |   13 |   90 |  127 |   18 |  127 |  127 |  119 |
|   29 |   52 |  122 |  120 |  115 |  127 |  127 |  127 |   64 |   10 |  127 |   60 |  127 |   11 |    0 |  127 |   14 |  127 |  127 |    5 |   39 |   24 |   29 |   42 |  127 |  127 |  127 |   51 |  127 |  123 |   41 |  127 |   94 |
|   30 |  127 |  127 |  127 |   44 |  127 |   38 |   82 |  127 |   36 |   33 |  127 |  127 |  127 |  127 |  109 |  127 |   65 |   16 |  127 |  123 |  121 |   70 |  127 |  127 |   36 |  127 |  127 |   31 |  127 |  127 |  127 |   93 |
|   31 |  102 |  127 |   99 |  127 |   61 |  127 |  127 |  127 |    3 |   31 |  127 |  127 |  127 |  127 |  127 |  113 |  120 |   50 |   42 |   41 |   62 |   20 |  127 |  127 |   30 |  127 |  127 |  100 |  113 |  127 |   56 |  127 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+

+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|  B-2 |    0 |    1 |    2 |    3 |    4 |    5 |    6 |    7 |    8 |    9 |   10 |   11 |   12 |   13 |   14 |   15 |   16 |   17 |   18 |   19 |   20 |   21 |   22 |   23 |   24 |   25 |   26 |   27 |   28 |   29 |   30 |   31 |
+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+
|    0 |  127 |  127 |  127 |  127 |   56 |  127 |  126 |  127 |  127 |   80 |    5 |  105 |  127 |   79 |   47 |  101 |   60 |   50 |  108 |  127 |   83 |   19 |  127 |  127 |  127 |   96 |   13 |  114 |  127 |   71 |  127 |  127 |
|    1 |   92 |   95 |  127 |  127 |   85 |  127 |  114 |  127 |  127 |  127 |  127 |    4 |   77 |  127 |   37 |  127 |  113 |   90 |   74 |  127 |  127 |  127 |  108 |  127 |  127 |  127 |  127 |  127 |  127 |   97 |    1 |   20 |
|    2 |   47 |  127 |  127 |  127 |  102 |   77 |  115 |  127 |   19 |  127 |  127 |   30 |  127 |   79 |   22 |   57 |   16 |  115 |   40 |   78 |  127 |  127 |  127 |   88 |   77 |   73 |  127 |   38 |  124 |    9 |   30 |   33 |
|    3 |   48 |  127 |  115 |  127 |  106 |   85 |  127 |   51 |  127 |  127 |   54 |  106 |  127 |  127 |  127 |  127 |  127 |    9 |   61 |  127 |    6 |  127 |   77 |   14 |   40 |   96 |  127 |  127 |   13 |  127 |   11 |  127 |
|    4 |  127 |  127 |  127 |  127 |   89 |   72 |   53 |  127 |  127 |  118 |   54 |   86 |  127 |  127 |  127 |  127 |   54 |    1 |  127 |  127 |  127 |   14 |  127 |  127 |  127 |   83 |   74 |   69 |  127 |   68 |   96 |   80 |
|    5 |   50 |  127 |   23 |  109 |  127 |  117 |   93 |  121 |  127 |  127 |   17 |   48 |  127 |    2 |  127 |  127 |   32 |  127 |  127 |   49 |  127 |   13 |  127 |  127 |  127 |   76 |   24 |  127 |  127 |  127 |  127 |   21 |
|    6 |   99 |  126 |   96 |  127 |   38 |   77 |  127 |  127 |  127 |  127 |  127 |   54 |   36 |  127 |  127 |  127 |   27 |  106 |  127 |   60 |  127 |   20 |  127 |   94 |  127 |  127 |  127 |   33 |   62 |   34 |  127 |   37 |
|    7 |  127 |  107 |  127 |   41 |  127 |  118 |   33 |  127 |  127 |  127 |   94 |   21 |  127 |  127 |  127 |   32 |  127 |  127 |    9 |  127 |   99 |  101 |  127 |  127 |  127 |  127 |  127 |   44 |   78 |  127 |   86 |  107 |
|    8 |   15 |  124 |   13 |   50 |  127 |   52 |  127 |   96 |  100 |  110 |   55 |  127 |   26 |  127 |  127 |   14 |   64 |  127 |  127 |  127 |   64 |   47 |   37 |   85 |   57 |    3 |  127 |  127 |  127 |  127 |  127 |  115 |
|    9 |  104 |  127 |   33 |   60 |  127 |   40 |  127 |  127 |  127 |  127 |   40 |   13 |   68 |  127 |  115 |  127 |   97 |  127 |   22 |   57 |   79 |  123 |   26 |  127 |  127 |  127 |   38 |  115 |  127 |  127 |  106 |   19 |
|   10 |   11 |  126 |   46 |  127 |  127 |  127 |   38 |  127 |  127 |   13 |   53 |   67 |  127 |  127 |   37 |  127 |   64 |   95 |   29 |   58 |   26 |   90 |  127 |   22 |  127 |    4 |   33 |  124 |   89 |  127 |  110 |   58 |
|   11 |   87 |   70 |  110 |  127 |  102 |  127 |  104 |  111 |   38 |  127 |  127 |  112 |  127 |  105 |  127 |  127 |   26 |  127 |   94 |   99 |   16 |    7 |  120 |  127 |   59 |  127 |   38 |  124 |  127 |  127 |   76 |  127 |
|   12 |   24 |  127 |   18 |  105 |  127 |   94 |   22 |   51 |  127 |   43 |   24 |  127 |   31 |   20 |  127 |   15 |  127 |  127 |  127 |  127 |   77 |  127 |  127 |   81 |  127 |    6 |   98 |  127 |   98 |  127 |  127 |   78 |
|   13 |   56 |   30 |   84 |  127 |  127 |    8 |   18 |  127 |   67 |  122 |  127 |   60 |   94 |   26 |  126 |  127 |  127 |   29 |  127 |  127 |   36 |  127 |  127 |   66 |  127 |  127 |   36 |  127 |  127 |   87 |  127 |  127 |
|   14 |   14 |   17 |  115 |   61 |   82 |  127 |  127 |   60 |  113 |  127 |   55 |  127 |   22 |  127 |  127 |  127 |   29 |  127 |   33 |  113 |  127 |  127 |  127 |   87 |   13 |  102 |  127 |  126 |  127 |  127 |   95 |  109 |
|   15 |  127 |  127 |   48 |   35 |  126 |  127 |  127 |   30 |  127 |   22 |   80 |  127 |  127 |  127 |  115 |  127 |  118 |  127 |  127 |  123 |   94 |   87 |  127 |  127 |  127 |  127 |  102 |   18 |   64 |  127 |  127 |  127 |
|   16 |   97 |  127 |  122 |  127 |   57 |   42 |  127 |  127 |  127 |   46 |   82 |  127 |  127 |   74 |  127 |   57 |    3 |  112 |  127 |  127 |   92 |   31 |   95 |  127 |  127 |    1 |  127 |   38 |   66 |  127 |   94 |  108 |
|   17 |  127 |  127 |  119 |  127 |  127 |  127 |   95 |   98 |   88 |   51 |  127 |  127 |   79 |  127 |   73 |   69 |  127 |  127 |  127 |   16 |   69 |  106 |  127 |   92 |   71 |  127 |   21 |  127 |   76 |   62 |  127 |   14 |
|   18 |  127 |  113 |  115 |   70 |   58 |  127 |  112 |   28 |  127 |  127 |   13 |  127 |  127 |   13 |  127 |  127 |   82 |    3 |  127 |  103 |  127 |   13 |  127 |   63 |  127 |   62 |  127 |   21 |  127 |   40 |  127 |  127 |
|   19 |   63 |    6 |   79 |   33 |   18 |   75 |  127 |  127 |    1 |  127 |    1 |  127 |   35 |   12 |  123 |   22 |  127 |  127 |  127 |   57 |  127 |  127 |  127 |  127 |    0 |  127 |  127 |  127 |   23 |  127 |  127 |   27 |
|   20 |  127 |   25 |  127 |   37 |   64 |   28 |  127 |   41 |   71 |  127 |   54 |   67 |  127 |  127 |  127 |   89 |  127 |  127 |   62 |  127 |  127 |   17 |  127 |  127 |  127 |   67 |   62 |  118 |  127 |  119 |   71 |  127 |
|   21 |  127 |   68 |  127 |   59 |  127 |  127 |  127 |   28 |  127 |  127 |  127 |  127 |  127 |  127 |   51 |  127 |  109 |   18 |   27 |  127 |  127 |  115 |   88 |  106 |    6 |  127 |  118 |  127 |  127 |  127 |  127 |  114 |
|   22 |  105 |  127 |    6 |  127 |   60 |  127 |  127 |    3 |  127 |  127 |  127 |  127 |  127 |   97 |  127 |   37 |  127 |  127 |  127 |  127 |  127 |    4 |  127 |   24 |  127 |  127 |   49 |  127 |  127 |   60 |  127 |  127 |
|   23 |  127 |   86 |  127 |  127 |  127 |   16 |  127 |  127 |   21 |  127 |    1 |  127 |  127 |   99 |  114 |  127 |  127 |   87 |   56 |    2 |  113 |   34 |  127 |  116 |   98 |   32 |   67 |  127 |  127 |   37 |  127 |  118 |
|   24 |  127 |  118 |  127 |  127 |   63 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   89 |  127 |  127 |   49 |   19 |  127 |   30 |   65 |  127 |  127 |  127 |  119 |  127 |  127 |   17 |  127 |   92 |   86 |   34 |  127 |
|   25 |   48 |  127 |  127 |  111 |   81 |   76 |  127 |   39 |   78 |  106 |   86 |  127 |   36 |  127 |   16 |  127 |  127 |  103 |  127 |   56 |  127 |   53 |  127 |   14 |   66 |  115 |  127 |  127 |   94 |  127 |   70 |  127 |
|   26 |   22 |   74 |  127 |  125 |  127 |  127 |  118 |  127 |   47 |  127 |   73 |  119 |  127 |  113 |   36 |    5 |   19 |  127 |  115 |  127 |   88 |    3 |  127 |   65 |   60 |  127 |  127 |  127 |  120 |  127 |  127 |  127 |
|   27 |   74 |  127 |  127 |  127 |   90 |  106 |   98 |    9 |   34 |   34 |  127 |  103 |   39 |  127 |  104 |  127 |  127 |   79 |   31 |  127 |   23 |  127 |  125 |   30 |  127 |  127 |    8 |   71 |   10 |   13 |  127 |  102 |
|   28 |  127 |   63 |  101 |  127 |  127 |    3 |   96 |   78 |   13 |   57 |    1 |  127 |  127 |   71 |  127 |    6 |  127 |   45 |  127 |   96 |  127 |  127 |  106 |  127 |  127 |  127 |  127 |  118 |  127 |  127 |  127 |  127 |
|   29 |    0 |  117 |   94 |  127 |   39 |   31 |  127 |  110 |  127 |  127 |   75 |  127 |  127 |  101 |   45 |  127 |  127 |    1 |  122 |  127 |  127 |  127 |  127 |  127 |  127 |  127 |   14 |   40 |  127 |    9 |   71 |  127 |
